Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
ECLIPSE AT DUBLIN STATION,2008,2.63,-121.897239,37.705455,72394,7.239372
EDEN ROCK,1962,1.46,-122.140344,37.698893,105568,10.556756
EDGEVIEW TERRACE,1972,2.25,-122.4763161,37.6930259, , 
ELLINWOOD APARTMENTS,1984,1.88,-122.057393,37.957156,107533,10.753262
EMERALD PARK LUXURY APARTMENT,1999,2.44,-121.8865728,37.7100012,67083,6.708327
ESTATES AT PARK PLACE,1999,2.68,-121.971132,37.546267,78128,7.812803
EVERGREEN RIDGE,1973,2.37,-122.4639812,37.6364411, , 
FAIRMONT,1968,2.46,-122.4776232,37.6581168, , 
FAIRMONT MANOR APARTMENTS,1956,1.42,-122.1097554,37.6968008,96768,9.676849
FAIRWAY VILLAGE,1969,2.21,-121.9284368,37.7305897,69711,6.97106
FERNMAR NORTH,1968,1.47,-122.4382748,37.6613818, , 
FINE ARTS BUILDING (THE),2004,5.55,-122.267075,37.86484,207976,20.79764
FLETCHER TOWERS,1963,1.6,-122.080567,37.664903,98648,9.864773
FLORA APARTMENTS,1972,2.28,-122.0755825,37.8912482,86936,8.693639
FONTANA,1964,0.94,-121.820378,38.000772,26636,2.663571
FOOTHILL - TWIN CREEKS CONDOS,1985,2.08,-121.9669836,37.7576082,63439,6.343888
FOSTERS LANDING,1987,3.02,-122.2638614,37.5559722, , 
FOUR SEASONS,1986,2.27,-122.050965,37.8831946,81843,8.184267
FOURTH & U APARTMENTS,2010,3.27,-122.3004513,37.8666066,189300,18.929995
FRANCISCAN,1964,2.46,-122.2614599,37.5581803, , 
FRANKLIN STREET APARTMENTS,2002,3.08,-122.190141,37.457022, , 
FREMONT GLEN,1971,2.34,-121.9761202,37.5671417,70683,7.068275
FREMONT PINES,1964,2.25,-122.003412,37.555306,79889,7.988859
GARDEN COURT,1961,1.85,-122.280399,37.7773532,180567,18.056696
GARDEN OAKS,1960,2.67,-122.1635208,37.4627671, , 
GARDEN PARK,1962,1.79,-122.076163,37.693972,83076,8.307554
GARDEN VILLAGE,1973,1.93,-122.0239146,37.5507883,75222,7.522162
GATE,1978,1.85,-122.0594868,37.959449,107753,10.775335
GATEWAY,1987,1.69,-122.1660081,37.7233174,112703,11.270294
GATEWOOD,1985,2.3,-121.87223,37.689454,63998,6.399802
GLEN OAKS,1971,2.2,-122.0964702,37.629073,100012,10.001167
GLENMOOR GREEN,1971,1.84,-122.0021174,37.534459,78073,7.807324
GRAND APARTMENTS (THE),2009,3.89,-122.26524,37.811465,265809,26.580938
GRAND LAKE TERRACE,1969,1.9,-122.2508564,37.8112581,229297,22.929718
GREENHAVEN,1983,2.42,-122.071666,37.5927549,81252,8.125227
GREENTREE TERRACE CONDOS,1990,1.76,-122.0081246,37.9695927,84362,8.436217
HACIENDA COMMONS,1988,2.25,-121.8839536,37.692514,72043,7.204347
HAMLET (THE),1980,2.33,-122.1219452,37.6992838,102539,10.253885
HARBOR COVE,1971,3.23,-122.2761986,37.5541422, , 
HASTINGS TERRACE,1972,2.14,-121.9868124,37.5551259,76704,7.670388
HERITAGE BLOSSOM,1960,1.73,-122.0995815,37.6792456,100872,10.087151
HERITAGE VILLAGE,1987,2.69,-121.998205,37.555559,77135,7.71353
HIDDEN COVE,1987,1.46,-121.94318,38.024184,28155,2.81549
HIDDEN CREEK,1985,1.94,-122.0952938,37.9929001,75816,7.581609
HIDDEN GLEN,1965,2.2,-121.7831662,37.6626422,35649,3.564946
HILLCREST,1990,1.71,-122.0459558,37.6559711,68197,6.819671
HILLCREST VIEW APARTMENTS,2002,1.67,-121.768634,37.981355,21124,2.112423
HILLSBOROUGH PLAZA,1967,2.93,-122.325519,37.5667035, , 
HILLSDALE GARDENS,1950,3.13,-122.299064,37.5340054, , 
HILLSDALE SQUARE,1963,2.32,-122.303965,37.541797, , 
HILLSIDE COURTYARD APARTMENTS,1972,3,-122.4640671,37.6863345, , 
HILLSIDE GARDEN APARTMENT HOMES,1965,2.23,-122.3372456,37.5189533, , 
HILLSIDE VILLAGE,2008,4.52,-122.268612,37.874902,197728,19.77284
HILLTOP COMMONS,1987,1.6,-122.3291667,37.9930685,34159,3.415913
HILLTOP WILLOW BRANCH,1980,1.46,-122.3455263,37.9621457,56542,5.654198
HORIZONS WEST,1970,2.78,-122.4878431,37.6340944, , 
